Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner
2017,4.9,5.71,2400,Petrol,Dealer,Manual,0
2011,0.38,0.787,75000,Petrol,Individual,Manual,0
2013,1.25,1.5,15000,Petrol,Individual,Manual,0
2016,0.72,0.95,500,Petrol,Individual,Manual,0
2014,0.4,0.64,13700,Petrol,Individual,Manual,0
2015,0.4,0.55,6700,Petrol,Individual,Manual,0
2014,4.6,6.87,42450,Diesel,Dealer,Manual,0
2017,0.75,0.95,3500,Petrol,Individual,Manual,0
2014,5.5,8.06,45780,Diesel,Dealer,Manual,0
2016,0.6,0.8,20000,Petrol,Individual,Manual,0
2016,5.65,7.9,28569,Petrol,Dealer,Manual,0
2014,4.75,6.76,40000,Petrol,Dealer,Manual,0
2013,4.15,5.87,55138,Petrol,Dealer,Manual,0
2009,3.8,18.61,62000,Petrol,Dealer,Manual,0
2015,8.4,13.6,34000,Petrol,Dealer,Manual,0
2016,9.5,11.6,33988,Diesel,Dealer,Manual,0
2008,1.95,7.15,58000,Petrol,Dealer,Manual,0
2012,3.0,5.35,53675,Petrol,Dealer,Manual,0
2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0
2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0
2016,5.5,5.97,5600,Petrol,Dealer,Manual,0
2014,1.15,2.4,7000,Petrol,Individual,Manual,0
2016,6.25,7.6,7000,Petrol,Dealer,Manual,0
2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
2009,3.0,10.0,69562,Petrol,Dealer,Manual,0
2013,0.27,0.47,21000,Petrol,Individual,Manual,0
2003,0.35,2.28,127000,Petrol,Individual,Manual,0
2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
2017,0.9,0.95,1300,Petrol,Individual,Manual,0
2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0
2013,0.25,0.57,18000,Petrol,Individual,Manual,0
2015,4.75,7.85,40000,Diesel,Dealer,Manual,0
2012,3.75,6.79,35000,Petrol,Dealer,Manual,0
2008,0.2,0.787,50000,Petrol,Individual,Manual,0
2010,0.25,0.52,22000,Petrol,Individual,Automatic,0
2015,7.5,10.0,27600,Petrol,Dealer,Manual,0
2012,2.0,4.43,23709,Petrol,Dealer,Manual,0
2011,2.9,6.79,31604,Petrol,Dealer,Manual,0
2015,4.75,7.13,35866,Petrol,Dealer,Manual,1
2016,6.6,7.7,16002,Petrol,Dealer,Manual,0
2010,0.45,0.95,27000,Petrol,Individual,Manual,0
2015,5.4,6.1,31427,Petrol,Dealer,Manual,0
2015,5.8,7.71,25870,Petrol,Dealer,Manual,0
2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0
2016,2.85,3.95,25000,Petrol,Dealer,Manual,0
2016,1.2,1.5,18000,Petrol,Individual,Manual,0
2014,5.3,6.8,16500,Petrol,Dealer,Manual,0
2015,0.65,0.74,5000,Petrol,Individual,Manual,0
2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0
2009,0.9,1.75,40000,Petrol,Individual,Manual,0
2016,5.25,5.7,3493,Petrol,Dealer,Manual,1
2016,10.25,13.6,49562,Petrol,Dealer,Manual,0
2016,5.3,5.9,5464,Petrol,Dealer,Manual,0
2015,0.18,0.32,35000,Petrol,Individual,Manual,0
2015,11.75,14.79,43535,Diesel,Dealer,Manual,0
2015,9.7,13.6,21780,Petrol,Dealer,Manual,0
2006,2.5,23.73,142000,Petrol,Individual,Automatic,3
2005,2.75,10.21,90000,Petrol,Individual,Manual,0
2016,0.51,0.94,24000,Petrol,Individual,Manual,0
2016,0.45,0.54,14000,Petrol,Individual,Manual,0
2015,8.25,9.4,61381,Diesel,Dealer,Manual,0
